Board Data,ID
eee/.p./p.p,0
.ee/ep./p.p,10
ee./.pe/p.p,20
.ee/.e./p.p,30
ee./.e./p.p,40
.ee/epp/p..,110
.ep/e../p.p,210
..e/epe/p..,1110
.e./eep/p..,2110
.pe/e.e/p..,11110
..p/e.e/p..,21110
.ep/ee./p..,12110
.p./ee./p..,22110
.e./epp/...,32110
.e./.pp/e..,132110
.../epe/...,232110
.p./e.e/...,1232110
ee./ppe/..p,120
pe./..e/p.p,220
e../epe/..p,1120
.e./pee/..p,2120
ep./e.e/..p,11120
p../e.e/..p,21120
pe./.ee/..p,12120
.e./ppe/...,22120
.p./.ee/..p,32120
.e./pp./..e,122120
.../epe/...,222120
.p./e.e/...,1222120
.ee/pe./..p,130
.ee/.ep/p..,230
.ee/.p./..p,330
.ee/.p./p..,430
.ee/p../.ep,1130
.e./pee/..p,2130
..e/ee./..p,3130
.ee/p../..e,4130
pe./.ee/..p,12130
.p./.ee/..p,22130
.e./ppe/...,32130
.e./pp./..e,132130
.../epe/...,232130
.p./e.e/...,1232130
..e/eep/...,13130
..e/ep./...,23130
..e/.ep/e..,113130
..e/e.p/.e.,213130
..e/.p./e..,123130
.../epe/...,223130
.../ee./...,323130
.p./e.e/...,1223130
.ee/..p/pe.,1230
.ee/..p/e..,2230
..e/.ee/p..,3230
..e/pee/...,13230
..e/.pe/...,23230
..e/p.e/.e.,113230
..e/pe./..e,213230
..e/.p./..e,123230
.../.ee/...,223230
.e./.pe/..p,1330
.e./.e./..p,2330
.e./.ep/...,12330
.e./.p./...,22330
.e./..p/.e.,112330
.../.ee/...,212330
.e./.pe/p..,1430
.e./.e./p..,2430
.e./ppe/...,11430
.e./pp./..e,111430
.../epe/...,211430
.p./e.e/...,1211430
.e./pe./...,12430
.e./.p./...,22430
.e./p../.e.,112430
.../ee./...,212430
ee./pe./..p,140
ee./.ep/p..,240
ee./.p./..p,340
ee./.p./p..,440
ee./p../.ep,1140
ee./p../..e,2140
e../ee./..p,3140
e../eep/...,13140
e../ep./...,23140
e../.ep/e..,113140
e../e.p/.e.,213140
e../.p./e..,123140
.../ee./...,223140
.e./eep/p..,1240
ee./..p/pe.,2240
ee./..p/e..,3240
e../.ee/p..,4240
.ep/ee./p..,11240
.e./epp/...,21240
.p./ee./p..,31240
.e./.pp/e..,121240
.../epe/...,221240
.p./e.e/...,1221240
e../pee/...,14240
e../.pe/...,24240
e../p.e/.e.,114240
e../pe./..e,214240
.../epe/...,124240
e../.p./..e,224240
.../.ee/...,324240
.p./e.e/...,1124240
.e./ep./..p,1340
.e./.e./..p,2340
.e./epp/...,11340
.e./.pp/e..,111340
.../epe/...,211340
.p./e.e/...,1211340
.e./.ep/...,12340
.e./.p./...,22340
.e./..p/.e.,112340
.../.ee/...,212340
.e./ep./p..,1440
.e./.e./p..,2440
.e./pe./...,12440
.e./.p./...,22440
.e./p../.e.,112440
.../ee./...,212440
