Board Data,ID
eee/..p/pp.,0
.ee/e.p/pp.,10
e.e/.ep/pp.,20
e.e/..e/pp.,30
.ee/epp/p..,110
.ee/p.p/p..,210
.pe/e../pp.,310
..e/epe/p..,1110
.../eep/p..,2110
.pe/e.e/p..,11110
..p/e.e/p..,21110
..p/ee./p..,12110
.../epe/...,22110
.../.pp/e..,122110
..e/pep/p..,1210
..e/e.p/p..,2210
p.e/.ep/p..,11210
..e/ppp/...,21210
.../pep/...,121210
p../.ep/...,1121210
..p/pe./...,2121210
e.e/pep/.p.,120
e.e/.pp,.p.,220
..e/epp/.p.,1220
..e/.ep/.p.,2220
e../.ep/.p.,3220
e.p/.e./.p.,13220
.pe/e.p/.p.,11220
..p/e.p/.p.,21220
..e/ppp/...,31220
.../pep/...,131220
p../.ep/...,1131220
..p/pe./...,2131220
e.e/p.e/.p.,130
e.e/.pe/p..,230
e.e/..p/p..,330
e.e/p../.pe,1130
e.e/p../.e.,2130
..e/e.p/p..,1330
..e/epe/p..,1230
e.e/.p./p.e,2230
..e/.ee/p..,3230
e../.ee/p..,4230
.pe/e.e/p..,11230
..p/e.e/p..,21230
..e/pee/...,13230
..e/.pe/...,23230
..e/p.e/.e.,113230
..e/pe./..e,213230
..e/.p./..e,123230
.../.ee/...,223230
e../pee/...,14230
e../.pe/...,24230
e../p.e/.e.,114230
e../pe./..e,214230
.../epe/...,124230
e../.p./..e,224230
.../.ee/...,324230
.p./e.e/...,1124230
